ddl_dml_name,ddl_dml_page_name,ddl_dml_url,ddl_dml_category_array,ddl_dml_category,ddl_dml_description
alter projection policy,alter-projection-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-projection-policy,ddl,ddl,Replaces the existing projection policy rules with new rules or a new comment and allows the renaming of a projection policy.
alter replication group,alter-replication-group,https://docs.snowflake.com/en/sql-reference/sql/alter-replication-group,ddl,ddl,Modifies the properties for an existing replication group.
alter resource monitor,alter-resource-monitor,https://docs.snowflake.com/en/sql-reference/sql/alter-resource-monitor,ddl,ddl,Modifies the properties and triggers for an existing resource monitor.
alter role,alter-role,https://docs.snowflake.com/en/sql-reference/sql/alter-role,ddl,ddl,Modifies the properties for an existing custom role.
alter row access policy,alter-row-access-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-row-access-policy,ddl,ddl,"Modifies the properties for an existing row access policy, including renaming the policy or replacing the policy rules."
alter schema,alter-schema,https://docs.snowflake.com/en/sql-reference/sql/alter-schema,ddl,ddl,"Modifies the properties for an existing schema, including renaming the schema or swapping it with another schema, and changing the Time Travel data retention period (if you are using Snowflake Enterprise Edition or higher)."
alter secret,alter-secret,https://docs.snowflake.com/en/sql-reference/sql/alter-secret,ddl,ddl,Modifies the properties of an existing secret.
alter security integration,alter-security-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-security-integration,ddl,ddl,Modifies the properties for an existing security integration.
alter sequence,alter-sequence,https://docs.snowflake.com/en/sql-reference/sql/alter-sequence,ddl,ddl,Modifies the properties for an existing sequence.
alter service,alter-service,https://docs.snowflake.com/en/sql-reference/sql/alter-service,ddl,ddl,"Modifies Snowpark Container Services service configuration, upgrades the code for the service, and allows you to suspend or resume a service."
alter session,alter-session,https://docs.snowflake.com/en/sql-reference/sql/alter-session,ddl,ddl,Sets parameters that change the behavior for the current session.
alter session policy,alter-session-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-session-policy,ddl,ddl,Modifies the properties for an existing session policy.
alter share,alter-share,https://docs.snowflake.com/en/sql-reference/sql/alter-share,ddl,ddl,Modifies the properties for an existing share.
alter snapshot,alter-snapshot,https://docs.snowflake.com/en/sql-reference/sql/alter-snapshot,ddl,ddl,Modifies the properties of an existing snapshot.
alter stage,alter-stage,https://docs.snowflake.com/en/sql-reference/sql/alter-stage,ddl,ddl,Modifies the properties for an existing named internal or external stage.
alter storage integration,alter-storage-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-storage-integration,ddl,ddl,Modifies the properties for an existing storage integration.
alter stream,alter-stream,https://docs.snowflake.com/en/sql-reference/sql/alter-stream,ddl,ddl,"Modifies the properties, columns, or constraints for an existing stream."
