ddl_dml_name,ddl_dml_page_name,ddl_dml_url,ddl_dml_category_array,ddl_dml_category,ddl_dml_description
describe projection policy,desc-projection-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-projection-policy,ddl,ddl,"Describes the details about a projection policy, including the creation date, name, and the SQL expression."
describe result,desc-result,https://docs.snowflake.com/en/sql-reference/sql/desc-result,ddl,ddl,Describes the columns in the result of a query.
describe row access policy,desc-row-access-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-row-access-policy,ddl,ddl,"Describes a row access policy, including the creation date, name, data type, and SQL expression."
describe schema,desc-schema,https://docs.snowflake.com/en/sql-reference/sql/desc-schema,ddl,ddl,Describes the schema.
describe search optimization,desc-search-optimization,https://docs.snowflake.com/en/sql-reference/sql/desc-search-optimization,ddl,ddl,Describes the search optimization configuration for a specified table and its columns.
describe secret,desc-secret,https://docs.snowflake.com/en/sql-reference/sql/desc-secret,ddl,ddl,Describes the properties of a secret.
describe semantic view,desc-semantic-view,https://docs.snowflake.com/en/sql-reference/sql/desc-semantic-view,ddl,ddl,"Describes the properties of the logical tables, dimensions, facts, and metrics that make up a semantic view."
describe sequence,desc-sequence,https://docs.snowflake.com/en/sql-reference/sql/desc-sequence,ddl,ddl,"Describes a sequence, including the sequence’s interval."
describe service,desc-service,https://docs.snowflake.com/en/sql-reference/sql/desc-service,ddl,ddl,Describes the properties of a Snowpark Container Services service (including job services).
describe session policy,desc-session-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-session-policy,ddl,ddl,Describes the details about a session policy.
describe share,desc-share,https://docs.snowflake.com/en/sql-reference/sql/desc-share,ddl,ddl,Describes the data objects that are included in a share.
describe snapshot,desc-snapshot,https://docs.snowflake.com/en/sql-reference/sql/desc-snapshot,ddl,ddl,Describes the properties of a snapshot.
describe stage,desc-stage,https://docs.snowflake.com/en/sql-reference/sql/desc-stage,ddl,ddl,"Describes the values specified for the properties in a stage (file format, copy, and location), as well as the default values for each property."
describe stream,desc-stream,https://docs.snowflake.com/en/sql-reference/sql/desc-stream,ddl,ddl,Describes the properties specified for a stream.
describe streamlit,desc-streamlit,https://docs.snowflake.com/en/sql-reference/sql/desc-streamlit,ddl,ddl,Describes the columns in a Streamlit object.
describe table,desc-table,https://docs.snowflake.com/en/sql-reference/sql/desc-table,ddl,ddl,Describes either the columns in a table or the set of stage properties for the table (current values and default values).
describe task,desc-task,https://docs.snowflake.com/en/sql-reference/sql/desc-task,ddl,ddl,Describes the columns in a task.
describe transaction,desc-transaction,https://docs.snowflake.com/en/sql-reference/sql/desc-transaction,ddl,ddl,"Describes the transaction, including the start time and the state (running, committed, rolled back)."
describe user,desc-user,https://docs.snowflake.com/en/sql-reference/sql/desc-user,ddl,ddl,"Describes a user, including the current values for the user’s properties, as well as the default values."
describe view,desc-view,https://docs.snowflake.com/en/sql-reference/sql/desc-view,ddl,ddl,Describes the columns in a view (or table).
describe warehouse,desc-warehouse,https://docs.snowflake.com/en/sql-reference/sql/desc-warehouse,ddl,ddl,Describes a virtual warehouse.
drop,drop,https://docs.snowflake.com/en/sql-reference/sql/drop,ddl,ddl,Removes the specified object from the system.
drop account,drop-account,https://docs.snowflake.com/en/sql-reference/sql/drop-account,ddl,ddl,"Drops an account, which initiates the process of deleting the account."
drop aggregation policy,drop-aggregation-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-aggregation-policy,ddl,ddl,Removes an aggregation policy from the current/specified schema.
drop alert,drop-alert,https://docs.snowflake.com/en/sql-reference/sql/drop-alert,ddl,ddl,Drops an existing alert.
drop application,drop-application,https://docs.snowflake.com/en/sql-reference/sql/drop-application,ddl,ddl,Removes an application from the system in the Native Apps Framework.
drop application package,drop-application-package,https://docs.snowflake.com/en/sql-reference/sql/drop-application-package,ddl,ddl,Removes an application package from the system in the Native Apps Framework.
drop application role,drop-application-role,https://docs.snowflake.com/en/sql-reference/sql/drop-application-role,ddl,ddl,Removes the specified application role from the system.
drop authentication policy,drop-authentication-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-authentication-policy,ddl,ddl,Removes an authentication policy from the system.
drop catalog integration,drop-catalog-integration,https://docs.snowflake.com/en/sql-reference/sql/drop-catalog-integration,ddl,ddl,Removes a catalog integration from the account.
drop compute pool,drop-compute-pool,https://docs.snowflake.com/en/sql-reference/sql/drop-compute-pool,ddl,ddl,Removes the specified compute pool from the account.
drop connection,drop-connection,https://docs.snowflake.com/en/sql-reference/sql/drop-connection,ddl,ddl,Removes a connection from the account.
drop cortex search service,drop-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/drop-cortex-search,ddl,ddl,Removes the specified Cortex Search service from the current schema.
drop database,drop-database,https://docs.snowflake.com/en/sql-reference/sql/drop-database,ddl,ddl,Removes a database from the system.
drop database role,drop-database-role,https://docs.snowflake.com/en/sql-reference/sql/drop-database-role,ddl,ddl,Removes the specified database role from the system.
drop dynamic table,drop-dynamic-table,https://docs.snowflake.com/en/sql-reference/sql/drop-dynamic-table,ddl,ddl,Removes a dynamic table from the current/specified schema.
drop external table,drop-external-table,https://docs.snowflake.com/en/sql-reference/sql/drop-external-table,ddl,ddl,Removes an external table from the current/specified schema.
drop external volume,drop-external-volume,https://docs.snowflake.com/en/sql-reference/sql/drop-external-volume,ddl,ddl,"Removes an external volume from the account, but retains a version of the external volume so that it can be recovered using UNDROP EXTERNAL VOLUME."
drop failover group,drop-failover-group,https://docs.snowflake.com/en/sql-reference/sql/drop-failover-group,ddl,ddl,Removes a failover group from the account.
drop file format,drop-file-format,https://docs.snowflake.com/en/sql-reference/sql/drop-file-format,ddl,ddl,Removes the specified file format from the current/specified schema.
drop function,drop-function,https://docs.snowflake.com/en/sql-reference/sql/drop-function,ddl,ddl,Removes the specified user-defined function (UDF) or external function from the current/specified schema.
drop git repository,drop-git-repository,https://docs.snowflake.com/en/sql-reference/sql/drop-git-repository,ddl,ddl,Removes the specified Git repository stage from the current/specified schema.
drop iceberg table,drop-iceberg-table,https://docs.snowflake.com/en/sql-reference/sql/drop-iceberg-table,ddl,ddl,"Removes an Apache Iceberg™ table from the current/specified schema, but retains a version of the Iceberg table so that it can be recovered using UNDROP ICEBERG TABLE."
drop image repository,drop-image-repository,https://docs.snowflake.com/en/sql-reference/sql/drop-image-repository,ddl,ddl,Removes the specified image repository from the current or specified schema.
drop index,drop-index,https://docs.snowflake.com/en/sql-reference/sql/drop-index,ddl,ddl,Drops a secondary index.
drop integration,drop-integration,https://docs.snowflake.com/en/sql-reference/sql/drop-integration,ddl,ddl,Removes an integration from the account.
drop join policy,drop-join-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-join-policy,ddl,ddl,Removes a join policy from the current/specified schema.
drop listing,drop-listing,https://docs.snowflake.com/en/sql-reference/sql/drop-listing,ddl,ddl,Removes the specified listing from the system and immediately revokes access for all consumers.
drop managed account,drop-managed-account,https://docs.snowflake.com/en/sql-reference/sql/drop-managed-account,ddl,ddl,"Removes a managed account, including all objects created in the account, and immediately restricts access to the account."
drop masking policy,drop-masking-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-masking-policy,ddl,ddl,Removes a masking policy from the system.
drop materialized view,drop-materialized-view,https://docs.snowflake.com/en/sql-reference/sql/drop-materialized-view,ddl,ddl,Removes the specified materialized view from the current/specified schema.
drop model,drop-model,https://docs.snowflake.com/en/sql-reference/sql/drop-model,ddl,ddl,Removes a machine learning model from the current/specified schema.
drop model monitor,drop-model-monitor,https://docs.snowflake.com/en/sql-reference/sql/drop-model-monitor,ddl,ddl,Removes the specified model monitor from the current or specified schema.
drop network policy,drop-network-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-network-policy,ddl,ddl,Removes the specified network policy from the system.
drop network rule,drop-network-rule,https://docs.snowflake.com/en/sql-reference/sql/drop-network-rule,ddl,ddl,Removes the specified network rule from the system.
drop notebook,drop-notebook,https://docs.snowflake.com/en/sql-reference/sql/drop-notebook,ddl,ddl,"Removes the specified notebook from the current/specified schema, but retains a version of the notebook so that it can be recovered using UNDROP NOTEBOOK."
drop organization profile,drop-organization-profile,https://docs.snowflake.com/en/sql-reference/sql/drop-organization-profile,ddl,ddl,Removes an organization profile.
drop packages policy,drop-packages-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-packages-policy,ddl,ddl,Removes a packages policy from the system.
drop password policy,drop-password-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-password-policy,ddl,ddl,Removes a password policy from the system.
drop pipe,drop-pipe,https://docs.snowflake.com/en/sql-reference/sql/drop-pipe,ddl,ddl,Removes the specified pipe from the current/specified schema.
drop privacy policy,drop-privacy-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-privacy-policy,ddl,ddl,Removes the specified privacy policy from the current/specified schema.
drop procedure,drop-procedure,https://docs.snowflake.com/en/sql-reference/sql/drop-procedure,ddl,ddl,Removes the specified stored procedure from the current/specified schema.
drop projection policy,drop-projection-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-projection-policy,ddl,ddl,Removes a projection policy from the current/specified schema.
drop replication group,drop-replication-group,https://docs.snowflake.com/en/sql-reference/sql/drop-replication-group,ddl,ddl,Removes a replication group from the account.
drop resource monitor,drop-resource-monitor,https://docs.snowflake.com/en/sql-reference/sql/drop-resource-monitor,ddl,ddl,Removes the specified resource monitor from the system.
drop role,drop-role,https://docs.snowflake.com/en/sql-reference/sql/drop-role,ddl,ddl,Removes the specified role from the system.
drop row access policy,drop-row-access-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-row-access-policy,ddl,ddl,Removes a row access policy from the system.
drop schema,drop-schema,https://docs.snowflake.com/en/sql-reference/sql/drop-schema,ddl,ddl,Removes a schema from the current/specified database.
drop secret,drop-secret,https://docs.snowflake.com/en/sql-reference/sql/drop-secret,ddl,ddl,Removes a secret from the system.
drop semantic view,drop-semantic-view,https://docs.snowflake.com/en/sql-reference/sql/drop-semantic-view,ddl,ddl,Removes the specified semantic view from the current/specified schema.
drop sequence,drop-sequence,https://docs.snowflake.com/en/sql-reference/sql/drop-sequence,ddl,ddl,Removes a sequence from the current/specified schema.
drop service,drop-service,https://docs.snowflake.com/en/sql-reference/sql/drop-service,ddl,ddl,Removes the specified Snowpark Container Services service from the current or specified schema.
drop session policy,drop-session-policy,https://docs.snowflake.com/en/sql-reference/sql/drop-session-policy,ddl,ddl,Removes a session policy from the system.
drop share,drop-share,https://docs.snowflake.com/en/sql-reference/sql/drop-share,ddl,ddl,Removes the specified share from the system and immediately revokes access for all consumers (i.e. accounts who have created a database from the share).
drop snapshot,drop-snapshot,https://docs.snowflake.com/en/sql-reference/sql/drop-snapshot,ddl,ddl,Removes a snapshot.
drop stage,drop-stage,https://docs.snowflake.com/en/sql-reference/sql/drop-stage,ddl,ddl,Removes the specified named internal or external stage from the current/specified schema.
drop stream,drop-stream,https://docs.snowflake.com/en/sql-reference/sql/drop-stream,ddl,ddl,Removes a stream from the current/specified schema.
drop streamlit,drop-streamlit,https://docs.snowflake.com/en/sql-reference/sql/drop-streamlit,ddl,ddl,Removes the specified Streamlit object from the current/specified schema.
drop table,drop-table,https://docs.snowflake.com/en/sql-reference/sql/drop-table,ddl,ddl,"Removes a table from the current/specified schema, but retains a version of the table so that it can be recovered using UNDROP TABLE."
drop tag,drop-tag,https://docs.snowflake.com/en/sql-reference/sql/drop-tag,ddl,ddl,Removes a tag from the system.
drop task,drop-task,https://docs.snowflake.com/en/sql-reference/sql/drop-task,ddl,ddl,Removes a task from the current/specified schema.
drop user,drop-user,https://docs.snowflake.com/en/sql-reference/sql/drop-user,ddl,ddl,Removes the specified user from the system.
drop view,drop-view,https://docs.snowflake.com/en/sql-reference/sql/drop-view,ddl,ddl,Removes the specified view from the current/specified schema.
drop warehouse,drop-warehouse,https://docs.snowflake.com/en/sql-reference/sql/drop-warehouse,ddl,ddl,Removes the specified virtual warehouse from the system.
execute alert,execute-alert,https://docs.snowflake.com/en/sql-reference/sql/execute-alert,ddl,ddl,Manually executes an alert independent of the schedule for the alert.
execute immediate,execute-immediate,https://docs.snowflake.com/en/sql-reference/sql/execute-immediate,ddl,ddl,Executes a string that contains a SQL statement or a Snowflake Scripting statement.
execute immediate from,execute-immediate-from,https://docs.snowflake.com/en/sql-reference/sql/execute-immediate-from,ddl,ddl,EXECUTE IMMEDIATE FROM executes the SQL statements specified in a file in a stage.
execute job service,execute-job-service,https://docs.snowflake.com/en/sql-reference/sql/execute-job-service,ddl,ddl,Executes a Snowpark Container Services service as a job.
execute notebook,execute-notebook,https://docs.snowflake.com/en/sql-reference/sql/execute-notebook,ddl,ddl,Executes all the cells in the live version of a notebook.
execute task,execute-task,https://docs.snowflake.com/en/sql-reference/sql/execute-task,ddl,ddl,Manually triggers an asynchronous single run of a task (either a standalone task or the root task in a task graph) independent of the schedule defined for the task.
explain,explain,https://docs.snowflake.com/en/sql-reference/sql/explain,ddl,ddl,Returns the logical execution plan for the specified SQL statement.
get,get,https://docs.snowflake.com/en/sql-reference/sql/get,ddl,ddl,Downloads data files from one of the following internal stage types to a local directory or folder on a client machine.
grant application role,grant-application-role,https://docs.snowflake.com/en/sql-reference/sql/grant-application-role,ddl,ddl,Assigns an application role to an account role or another application role.
grant caller,grant-caller,https://docs.snowflake.com/en/sql-reference/sql/grant-caller,ddl,ddl,Grants caller grants to a role.
grant database role,grant-database-role,https://docs.snowflake.com/en/sql-reference/sql/grant-database-role,ddl,ddl,Assigns a database role to an account role or another database role.
grant ownership,grant-ownership,https://docs.snowflake.com/en/sql-reference/sql/grant-ownership,ddl,ddl,Transfers ownership of an object or all objects of a specified type in a schema from one role to another role.
grant,grant-privilege,https://docs.snowflake.com/en/sql-reference/sql/grant-privilege,ddl,ddl,Grants one or more access privileges on a securable object to a role or database role.
grant role,grant-role,https://docs.snowflake.com/en/sql-reference/sql/grant-role,ddl,ddl,Assigns a role to a user or another role.
grant service role,grant-service-role,https://docs.snowflake.com/en/sql-reference/sql/grant-service-role,ddl,ddl,"Assigns a service role to an account role, application role, or database role."
insert,insert,https://docs.snowflake.com/en/sql-reference/sql/insert,dml,dml,Updates a table by inserting one or more rows into the table.
list,list,https://docs.snowflake.com/en/sql-reference/sql/list,ddl,ddl,Returns a list of files that have been staged (files that have been uploaded from a local file system or unloaded from a table) in one of the following Snowflake stages.
merge,merge,https://docs.snowflake.com/en/sql-reference/sql/merge,dml,dml,"Inserts, updates, and deletes values in a table based on values in a second table or a subquery."
put,put,https://docs.snowflake.com/en/sql-reference/sql/put,ddl,ddl,Uploads one or more data files from a local file system onto an internal stage.
remove,remove,https://docs.snowflake.com/en/sql-reference/sql/remove,ddl,ddl,Removes files from either an external (external cloud storage) or internal (i.e. Snowflake) stage.
revoke application role,revoke-application-role,https://docs.snowflake.com/en/sql-reference/sql/revoke-application-role,ddl,ddl,Revokes an application role from an account role or another application role.
revoke caller,revoke-caller,https://docs.snowflake.com/en/sql-reference/sql/revoke-caller,ddl,ddl,Revokes privileges that were previously granted to an executable owner using a caller grant.
revoke database role,revoke-database-role,https://docs.snowflake.com/en/sql-reference/sql/revoke-database-role,ddl,ddl,Revokes a database role from an account role or another database role.
revoke,revoke-privilege,https://docs.snowflake.com/en/sql-reference/sql/revoke-privilege,ddl,ddl,Removes one or more privileges on a securable object from a role or database role.
revoke <privileges> from application,revoke-privilege-application,https://docs.snowflake.com/en/sql-reference/sql/revoke-privilege-application,ddl,ddl,Revokes one or more access privileges on a securable object from an application.
revoke <privileges> from application role,revoke-privilege-application-role,https://docs.snowflake.com/en/sql-reference/sql/revoke-privilege-application-role,ddl,ddl,Revokes one or more access privileges on a securable schema-level object from an application role.
revoke role,revoke-role,https://docs.snowflake.com/en/sql-reference/sql/revoke-role,ddl,ddl,Removes a role from another role or a user.
revoke service role,revoke-service-role,https://docs.snowflake.com/en/sql-reference/sql/revoke-service-role,ddl,ddl,"Revokes a service role from an account role, application role, or database role."
rollback,rollback,https://docs.snowflake.com/en/sql-reference/sql/rollback,ddl,ddl,Rolls back an open transaction in the current session.
select,select,https://docs.snowflake.com/en/sql-reference/sql/select,ddl,ddl,SELECT can be used as either a statement or as a clause within other statements.
set,set,https://docs.snowflake.com/en/sql-reference/sql/set,ddl,ddl,Initializes the value of a session variable to the result of a SQL expression.
show,show,https://docs.snowflake.com/en/sql-reference/sql/show,ddl,ddl,Lists the existing objects for the specified object type.
show accounts,show-accounts,https://docs.snowflake.com/en/sql-reference/sql/show-accounts,ddl,ddl,"Lists all the accounts in your organization, excluding managed accounts."
show aggregation policies,show-aggregation-policies,https://docs.snowflake.com/en/sql-reference/sql/show-aggregation-policies,ddl,ddl,"Lists information about existing aggregation policies, including the creation date, database and schema names, owner, and any available comments."
show alerts,show-alerts,https://docs.snowflake.com/en/sql-reference/sql/show-alerts,ddl,ddl,Lists the alerts for which you have access privileges.
show application packages,show-application-packages,https://docs.snowflake.com/en/sql-reference/sql/show-application-packages,ddl,ddl,Lists the application packages for which you have access privileges across your entire account in the Native Apps Framework.
show application roles,show-application-roles,https://docs.snowflake.com/en/sql-reference/sql/show-application-roles,ddl,ddl,Lists the application roles in the specified app for which for which you have access privileges.
show applications,show-applications,https://docs.snowflake.com/en/sql-reference/sql/show-applications,ddl,ddl,Lists the application objects for which you have access privileges across your entire account in the
show authentication policies,show-authentication-policies,https://docs.snowflake.com/en/sql-reference/sql/show-authentication-policies,ddl,ddl,"Lists authentication policy information, including the creation date, database and schema names, owner, and any available comments."
show available listings,show-available-listings,https://docs.snowflake.com/en/sql-reference/sql/show-available-listings,ddl,ddl,Lists the listings that are available to the user who runs the command.
show available organization profiles,show-available-organization-profiles,https://docs.snowflake.com/en/sql-reference/sql/show-available-organization-profiles,ddl,ddl,Lists the organization profiles available in the user’s organization.
show caller grants,show-caller-grants,https://docs.snowflake.com/en/sql-reference/sql/show-caller-grants,ddl,ddl,Lists the caller grants being used to implement restricted caller’s rights.
show catalog integrations,show-catalog-integrations,https://docs.snowflake.com/en/sql-reference/sql/show-catalog-integrations,ddl,ddl,Lists the catalog integrations in your account.
show channels,show-channels,https://docs.snowflake.com/en/sql-reference/sql/show-channels,ddl,ddl,Lists the Snowpipe Streaming channels for which you have access privileges.
show classes,show-classes,https://docs.snowflake.com/en/sql-reference/sql/show-classes,ddl,ddl,Lists all available classes.
show columns,show-columns,https://docs.snowflake.com/en/sql-reference/sql/show-columns,ddl,ddl,Lists the columns in the tables or views for which you have access privileges.
show compute pools,show-compute-pools,https://docs.snowflake.com/en/sql-reference/sql/show-compute-pools,ddl,ddl,Lists the compute pools in your account for which you have access privileges.
show connections,show-connections,https://docs.snowflake.com/en/sql-reference/sql/show-connections,ddl,ddl,Lists the connections for which you have access privileges.
show cortex search services,show-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/show-cortex-search,ddl,ddl,Lists the Cortex Search services for which you have access privileges.
show data metric functions,show-data-metric-functions,https://docs.snowflake.com/en/sql-reference/sql/show-data-metric-functions,ddl,ddl,Lists the data metric functions (DMFs) for which you have access privileges.
show database roles,show-database-roles,https://docs.snowflake.com/en/sql-reference/sql/show-database-roles,ddl,ddl,Lists all the database roles in the specified database.
show databases,show-databases,https://docs.snowflake.com/en/sql-reference/sql/show-databases,ddl,ddl,"Lists the databases for which you have access privileges across your entire account, including dropped databases that are still within the Time Travel retention period and, therefore, can be undropped."
show databases in failover group,show-databases-in-failover-group,https://docs.snowflake.com/en/sql-reference/sql/show-databases-in-failover-group,ddl,ddl,Lists databases in a failover group.
show databases in replication group,show-databases-in-replication-group,https://docs.snowflake.com/en/sql-reference/sql/show-databases-in-replication-group,ddl,ddl,Lists databases in a replication group.
show datasets,show-datasets,https://docs.snowflake.com/en/sql-reference/sql/show-datasets,ddl,ddl,Displays information about the datasets in your account.
show delegated authorizations,show-delegated-authorizations,https://docs.snowflake.com/en/sql-reference/sql/show-delegated-authorizations,ddl,ddl,Lists the active delegated authorizations for which you have access privileges.
show dynamic tables,show-dynamic-tables,https://docs.snowflake.com/en/sql-reference/sql/show-dynamic-tables,ddl,ddl,Lists the dynamic tables for which you have access privileges.
show endpoints,show-endpoints,https://docs.snowflake.com/en/sql-reference/sql/show-endpoints,ddl,ddl,Lists the endpoints in a Snowpark Container Services service (or a job service).
show event tables,show-event-tables,https://docs.snowflake.com/en/sql-reference/sql/show-event-tables,ddl,ddl,"Lists the event tables for which you have access privileges, including dropped tables that are still within the Time Travel retention period and, therefore, can be undropped."
show external functions,show-external-functions,https://docs.snowflake.com/en/sql-reference/sql/show-external-functions,ddl,ddl,Lists all the external functions created for your account.
show external tables,show-external-tables,https://docs.snowflake.com/en/sql-reference/sql/show-external-tables,ddl,ddl,Lists the external tables for which you have access privileges.
show external volumes,show-external-volumes,https://docs.snowflake.com/en/sql-reference/sql/show-external-volumes,ddl,ddl,Lists the external volumes in your account for which you have access privileges.
show failover groups,show-failover-groups,https://docs.snowflake.com/en/sql-reference/sql/show-failover-groups,ddl,ddl,"Lists the primary and secondary failover groups in your account, as well as the failover groups in other accounts that are associated with your account."
show file formats,show-file-formats,https://docs.snowflake.com/en/sql-reference/sql/show-file-formats,ddl,ddl,Lists the file formats for which you have access privileges.
show functions,show-functions,https://docs.snowflake.com/en/sql-reference/sql/show-functions,ddl,ddl,"Lists all functions that you have privileges to access, including built-in, user-defined, and external functions."
show functions in model,show-functions-in-model,https://docs.snowflake.com/en/sql-reference/sql/show-functions-in-model,ddl,ddl,Lists functions defined in machine learning models.
show git branches,show-git-branches,https://docs.snowflake.com/en/sql-reference/sql/show-git-branches,ddl,ddl,Lists the Git repository branches in the specified repository.
show git repositories,show-git-repositories,https://docs.snowflake.com/en/sql-reference/sql/show-git-repositories,ddl,ddl,Lists the Git repository stages that you have privileges to access.
show git tags,show-git-tags,https://docs.snowflake.com/en/sql-reference/sql/show-git-tags,ddl,ddl,Lists the Git repository tags in the specified Git repository.
show global accounts,show-global-accounts,https://docs.snowflake.com/en/sql-reference/sql/show-global-accounts,ddl,ddl,Lists all the accounts in your organization that are enabled for replication and indicates the Snowflake Region in which each account is located.
show grants,show-grants,https://docs.snowflake.com/en/sql-reference/sql/show-grants,ddl,ddl,"Lists all access control privileges that have been explicitly granted to roles, users, and shares."
show hybrid tables,show-hybrid-tables,https://docs.snowflake.com/en/sql-reference/sql/show-hybrid-tables,ddl,ddl,Lists the hybrid tables for which you have access privileges.
show iceberg tables,show-iceberg-tables,https://docs.snowflake.com/en/sql-reference/sql/show-iceberg-tables,ddl,ddl,Lists the Apache Iceberg™ tables for which you have access privileges.
show image repositories,show-image-repositories,https://docs.snowflake.com/en/sql-reference/sql/show-image-repositories,ddl,ddl,Lists the image repositories for which you have access privileges.
show images in image repository,show-images-in-image-repository,https://docs.snowflake.com/en/sql-reference/sql/show-images-in-image-repository,ddl,ddl,Lists the images in an image repository.
show indexes,show-indexes,https://docs.snowflake.com/en/sql-reference/sql/show-indexes,ddl,ddl,Lists all the indexes in your account for which you have access privileges.
show integrations,show-integrations,https://docs.snowflake.com/en/sql-reference/sql/show-integrations,ddl,ddl,Lists the integrations in your account.
show join policies,show-join-policies,https://docs.snowflake.com/en/sql-reference/sql/show-join-policies,ddl,ddl,"Lists information about existing join policies, including the creation date, database and schema names, owner, and any available comments."
show listings,show-listings,https://docs.snowflake.com/en/sql-reference/sql/show-listings,ddl,ddl,Lists the listings that you have privileges to access.
show locks,show-locks,https://docs.snowflake.com/en/sql-reference/sql/show-locks,ddl,ddl,Lists all running transactions that have locks on resources.
show managed accounts,show-managed-accounts,https://docs.snowflake.com/en/sql-reference/sql/show-managed-accounts,ddl,ddl,Lists the managed accounts created for your account.
show masking policies,show-masking-policies,https://docs.snowflake.com/en/sql-reference/sql/show-masking-policies,ddl,ddl,"Lists masking policy information, including the creation date, database and schema names, owner, and any available comments."
show materialized views,show-materialized-views,https://docs.snowflake.com/en/sql-reference/sql/show-materialized-views,ddl,ddl,Lists the materialized views that you have privileges to access.
show model monitors,show-model-monitors,https://docs.snowflake.com/en/sql-reference/sql/show-model-monitors,ddl,ddl,Lists all model monitor that you can access in the current or specified schema and displays information about each one.
show models,show-models,https://docs.snowflake.com/en/sql-reference/sql/show-models,ddl,ddl,Lists the machine learning models that you have privileges to access.
show network policies,show-network-policies,https://docs.snowflake.com/en/sql-reference/sql/show-network-policies,ddl,ddl,Lists all network policies defined in the system.
show network rules,show-network-rules,https://docs.snowflake.com/en/sql-reference/sql/show-network-rules,ddl,ddl,Lists all network rules defined in the system.
show notebooks,show-notebooks,https://docs.snowflake.com/en/sql-reference/sql/show-notebooks,ddl,ddl,Lists the notebooks for which you have access privileges.
show notification integrations,show-notification-integrations,https://docs.snowflake.com/en/sql-reference/sql/show-notification-integrations,ddl,ddl,Lists the notification integrations in your account.
show objects,show-objects,https://docs.snowflake.com/en/sql-reference/sql/show-objects,ddl,ddl,Lists the tables and views for which you have access privileges.
show organization accounts,show-organization-accounts,https://docs.snowflake.com/en/sql-reference/sql/show-organization-accounts,ddl,ddl,Lists the organization account of the organization.
show organization profiles,show-organization-profiles,https://docs.snowflake.com/en/sql-reference/sql/show-organization-profiles,ddl,ddl,Lists the organization profiles for which you have access privileges.
show packages policies,show-packages-policies,https://docs.snowflake.com/en/sql-reference/sql/show-packages-policies,ddl,ddl,Lists packages policy information.
show parameters,show-parameters,https://docs.snowflake.com/en/sql-reference/sql/show-parameters,ddl,ddl,"Lists all the account, session, and object parameters that can be set, as well as the current and default values for each parameter."
show password policies,show-password-policies,https://docs.snowflake.com/en/sql-reference/sql/show-password-policies,ddl,ddl,"Lists password policy information, including the creation date, database and schema names, owner, and any available comments."
show pipes,show-pipes,https://docs.snowflake.com/en/sql-reference/sql/show-pipes,ddl,ddl,Lists the pipes for which you have access privileges.
show primary keys,show-primary-keys,https://docs.snowflake.com/en/sql-reference/sql/show-primary-keys,ddl,ddl,Lists primary keys for one or more tables.
show privacy policies,show-privacy-policies,https://docs.snowflake.com/en/sql-reference/sql/show-privacy-policies,ddl,ddl,Lists the privacy policies for which you have access privileges.
show privileges,show-privileges,https://docs.snowflake.com/en/sql-reference/sql/show-privileges,ddl,ddl,Lists the privileges granted to an application.
show procedures,show-procedures,https://docs.snowflake.com/en/sql-reference/sql/show-procedures,ddl,ddl,"Lists all stored procedures that you have privileges to access, including built-in and user-defined procedures."
show projection policies,show-projection-policies,https://docs.snowflake.com/en/sql-reference/sql/show-projection-policies,ddl,ddl,"Lists projection policy information, including the creation date, database and schema names, owner, and any available comments."
show references,show-references,https://docs.snowflake.com/en/sql-reference/sql/show-references,ddl,ddl,Lists the references defined for an application in the manifest file and the references the consumer has associated to the application.
show regions,show-regions,https://docs.snowflake.com/en/sql-reference/sql/show-regions,ddl,ddl,Lists all the regions in which accounts can be created.
show release directives,show-release-directives,https://docs.snowflake.com/en/sql-reference/sql/show-release-directives,ddl,ddl,Lists the release directives defined for an application package in the Native Apps Framework.
show replication accounts,show-replication-accounts,https://docs.snowflake.com/en/sql-reference/sql/show-replication-accounts,ddl,ddl,Lists all the accounts in your organization that are enabled for replication and indicates the region in which each account is located.
show replication databases,show-replication-databases,https://docs.snowflake.com/en/sql-reference/sql/show-replication-databases,ddl,ddl,"Lists all the primary and secondary databases (that is to say, all the databases for which replication has been enabled) in your account and indicates the region in which each account is located."
show replication groups,show-replication-groups,https://docs.snowflake.com/en/sql-reference/sql/show-replication-groups,ddl,ddl,Displays information about replication groups and failover groups.
show resource monitors,show-resource-monitors,https://docs.snowflake.com/en/sql-reference/sql/show-resource-monitors,ddl,ddl,Lists all the resource monitors in your account for which you have access privileges.
show roles,show-roles,https://docs.snowflake.com/en/sql-reference/sql/show-roles,ddl,ddl,"Lists all the roles which you can view across your entire account, including the system-defined roles and any custom roles that exist."
